channel_id,channel,classification
UCzkH2izhluiz0HMDIxZ6hxA,Michael Cox,3.0
UCIa8VMApFuFza78Vhv9BqWg,Doggmeister,3.0
UC0G2XnXhO8SA0CGvxQUawEA,WVPT Public Media,3.0
UC5NMue42pUHGRT_qO0G3JWg,Steamboat Institute,3.0
UCD7PAk-qTIU-jkdb6l4vdlg,Severe Storm Recon Team,3.0
UCSlo5dl8jvbmpJi-zcbqq6w,Yankee Stacking,3.0
UCV_s9_aagJWw2fn_A0Y4ydw,Centennial Institute,3.0
UCWMaOB-Wxb1pbayjkOZn2iA,Jennies Garage,3.0
UCXinXNQcUd7cN0bVfscV-iA,stormgasm2,3.0
UCYog33Mm3M3UVHORkz74n-Q,spencer basoco,3.0
UCc1JNpkmza1ND1Sna3T2Cmg,AmericanExperimentMN,3.0
UCcZzXUnMdRnmYqLK-y4D_Pg,OurHalfAcreHomestead,3.0
UCeOKR90HIw9WZHodMWRGOcA,Media Satchel,3.0
UCmLJLUkF4AEqnRH5t4I-K2w,Beach Gold Assay,3.0
UCqmToXM7x2tD7-2rs0KvObA,Silver Bullion TV,3.0
UCrGVK6Xfo8SNMWxm7Q84Efw,Steve Olafson,3.0
UCw9U7YAVb51sWf0xoXlEUXg,Candace Owens Fanatic,3.0
UCwmxE94hMUJ_Pn0H4qtxcZA,Oral History of the Ozarkks Project,3.0
UC2RNIbFvRIqKEXSfSI-hnfQ,IA. Sports,3.0
UC3X8sYjKJuDefK1kiY9H4LA,Prophecy Watchers,3.0
UC45hHuqWfdi7TIZg0RDG9_g,VIPFinancialEd,3.0
UC5mni04nk12UCrwPCOlClug,Mike Adams,3.0
UC7yXV6dvVgBiIP83eYh1D2w,Calvary Chapel Tri-Cities,4.0
UC9g9KeH2Mt5yTBXgXMbQRpw,Intercessors for America,3.0
UCAde4-x4k8jUrjgRGo4MybA,Radazure,3.0
UCBVNKm1LF1FtsYUvAUfAK4Q,Shema-ministries Jerusalem,4.0
UCGh1Y0mz0hlepZgjvFSVdHQ,mikebythesun,3.0
UCGwIciAkX4XpjuD0v589G6w,Wonderful Nature,3.0
UCLSVwlAxJFIEL1QFebJWYbw,bobshull,3.0
UCSDAMc2a9Hf8MGk_AVOdq3A,Total Debt Freedom,3.0
UCTxWBZO5f97yqmEs-QSvIlQ,"Carti, predici, poezii",0.0
UCY4tmYLAjXFXC5ZaEfi8u2A,Zooom Nordic Wild,3.0
UC_OyYOATliIj9xEx6bv2Z9Q,GoWithLess,3.0
UCeXMqQcSE9PNgbBm-AnCjHQ,♠ Lady Kenai ♠,3.0
UCjVuLZt0rFQRISqHhYxVAVA,Jay Philip Williams,3.0
UCxrZLOZVkAggoAXhB2tnIjA,Brandon P West,3.0
UCzVpstYSxZn_RgGf8YNsRdA,Computers Tech wassup2190 Tips Tricks Tutorial,4.0
UCVrK_pMRp_q8IelpfUCTGLQ,Turning Point USA,3.0
UCdZUbcNqDOrA_m8JtOOPgNQ,Alan Broerse,3.0
UCj9bis_nkb0yRNfciNEol1Q,Tigernation,3.0
UC0IgZptSKtHO6wt5XLz50Nw,Wins and Fails,3.0
UCEoVRgBSukc0trLG0CmaAcQ,CLIP4U - The Best Funny Videos Channel,3.0
UCHEoznxNksuj2pe7NxwkJeg,Missouri State University Libraries,3.0
UCP2mKBn8807WyP4GtGuahrA,Conanjay Wallace,3.0
UCPdRwXAK_Mav1Ok_arQs2XA,FAIL AND PRANK,3.0
UC_SnyxINMcXSAwi7H1-v0xQ,The Post Athens,3.0
UCaYw_yJ_YLPEv6zR2c7hgHA,Brandon Tatum,3.0
UCpW280ofx1oOcHzo3wlnlGg,Kitschy Travels,3.0
UCJZam2u1G0syq3kyqrCXrNw,PrestonMinecraft,3.0
UCNc0PyLEIpQwGYbH6gNNt1g,JessicaLatestNews,3.0
UCTuqbIOgNF8ELJoKCINKjaw,Archimedes Channel,3.0
UCfWb1oYcUrGKZpJAUVJMYkQ,GoldFather,3.0
UCj8oOosCok2J6HsB_-sQweg,ATETV,3.0
UCozLeKG5aswjLG-IQ8yTotQ,PortFever,3.0
UCFJ9rFn9iiYOOA6FUMnua-Q,George Payne,3.0
UCGHOxxCJgwoDCHwr_sgDSYA,Battle Royale Guides,3.0
UCZJJSfojvkz4acPF1yTon4g,aviationchannel2010,3.0
UC_6yk4Q5RMk1MCUj5A2a-jw,Prophecy in the News,4.0
UC_HgtI1WieWXTJu-EWHGr9w,Harlem Globetrotters,3.0
UCanz5oJyjY0Y91GX0E0Hqag,rockytopva,4.0
UCbGsq6SbU0mkAYh5SqgXepQ,KalicaTv,3.0
UCeiDv1s6UTCPuAkAASFeHBA,Salt Light,4.0
UCewx2jKtxqCmM5Nz-HEJvaw,Kristina R,3.0
UChLDRB-FyoSYfFc1ahUyeHw,Ani Channel,3.0
UCrDWsW0vT_vj4w28zCLjIng,Jay Brown,3.0
UCwDKeEg0LfxsxfT0nTr8JXw,SCHWE1NSTE1GER7,3.0
UCyNDOuol6OIKPImq-tmePZQ,ojatro,3.0
UCQrRxeXJ5R_qQnpxf1IlePQ,Teach Dem,3.0
UCYNbYGl89UUowy8oXkipC-Q,Dr. Becky,3.0
UCjknFk3l1mNztLINr4XiXfw,Darren scott,3.0
UCuAiW236nsjQdcR2gwhgd0w,Skywatch Media News,4.0
UCLT87XRxSqbTW0jlHBCgR6Q,MiliTainment TV,3.0
UCbtUmwPYYCt5moc_OaPvKVQ,abusinbel2009,3.0
UCj2Eeg01Mn5WmcXxt695fUg,Brady Brandwood,3.0
UCjKIwR79otDlf27inpuJUDw,freekycheese,3.0
UCl3sqMlD0RpW0Wds4_pO30w,kevmond,3.0
UClEo-Jy2M1UNj421SGEfoqw,Scott McNeeley,3.0
UCquddGiMQbSB4OkRlhdTSUQ,Paul Contreras,3.0
UCtJw3k0SnFFKu0I7IVzxDOg,Stephen Hermer,3.0
UCzL2Zg3ac1V_5AqBPcNHfEw,pamthevan,3.0
UCJ_HMf4oLt1IZMIN19g7v7w,Kevin Messenger,3.0
UCVrEv6xAiW71v-XwxHRTehg,Saviours Helper,4.0
UCX4eLIPKvO4Fr9gKG5q2v5Q,Onstage TV,3.0
UCP8HS6Ge4ofqXxDZhANMnQQ,Feathers And Flight Historical Falconry,3.0
UCUShNfguDMRXHxLAwiuUljQ,Daughter Of Zion,3.0
UCXPJCD_RONSS9-gcnFAKMew,Ezio Giuliano,3.0
UCuc1u1jRBWVlGXD7xPfppYA,Justine Tefertiller,3.0
UCy2g-dz4WwL_iik_rSAtvMQ,KV Show,3.0
UCJFMyqPpLYMsWXbS3lyPXKg,Theodor Gedack,3.0
UCdNO3SSyxVGqW-xKmIVv9pQ,settime2588,3.0
UCQkyTaQD9iAlIZReBm5wSHg,Freedom Influencer,3.0
UCZfGH5PBUxipEz3d3lOhJMQ,Upstate Flyer,3.0
UCaYjJXdlG_V_YwzBNGGn6Pw,Ebone Cruz,3.0
UC5OI8cXW5_cZqRlhuN0O_-A,Baron,2.0
UCWwrKihfdcr-ukg4SPDoDTg,Neoweather,3.0
UCYDMc5bimX8L-C8XebruFzg,climatecentral,3.0
